PolicyNum,Year,Premium,Claim_Counts,Total_Losses,Average_Loss,Ln(Cov)_1,BC_Coverage_1 ,Error_Indicator,Ln(Cov)_2,BC_Coverage_2,Random_0.7_1.3,Fire5_1,Fire5_2,NA_Indicator
120097,2006,10089,0,0,0,3.697788079,40.357937,0,3.697788079,40.357937,0.82,0,0,0
120099,2006,135519,2,41000.57,20500.285,5.776612219,322.664221,0,5.776612219,322.664221,1.13,1,1,0
120100,2006,7364,3,7171.91,2390.636667,2.219813515,9.205614,0,2.219813515,9.205614,1.11,0,0,0
120103,2006,20996,0,0,0,4.604981858,99.981169,1,4.442462929,84.98399365,0.85,1,1,0
130010,2006,10780,0,0,0,2.993828212,19.961955,0,2.993828212,19.961955,0.9,0,,1
130084,2006,8566,0,0,0,2.435437305,11.420812,0,2.435437305,11.420812,0.81,0,,1
130099,2006,41603,1,7078.27,7078.27,4.326009582,75.641841,0,4.326009582,75.641841,1,0,,1
130170,2006,25774,1,22799.41,22799.41,4.116881194,61.36755,0,4.116881194,61.36755,0.95,1,1,0
130196,2006,8908,0,0,0,2.664871752,14.366107,0,2.664871752,14.366107,1.22,0,,1
130198,2006,18891,4,620,155,3.466287751,32.017664,0,3.466287751,32.017664,0.73,0,0,0
130232,2006,32951,4,9888.5,2472.125,3.957055165,52.303075,1,3.926595957,50.73398275,0.97,1,1,0
130245,2006,16499,2,87748.65,43874.325,3.188949877,24.262935,1,2.874239132,17.71194255,0.73,0,0,0
130427,2006,5338,0,0,0,2.4088389,11.121041,0,2.4088389,11.121041,1.02,0,,1
130431,2006,26241,0,0,0,4.208945964,67.285581,0,4.208945964,67.285581,1.1,1,1,0
130474,2006,14742,2,11935.66,5967.83,2.752595049,15.683278,0,2.752595049,15.683278,1.2,0,,1
130476,2006,29663,3,2277.7,759.2333333,3.851948171,47.084703,0,3.851948171,47.084703,1.21,0,0,0
130490,2006,9977,1,30911,30911,2.74654687,15.588709,1,2.663165261,14.34161228,0.92,0,,1
130616,2006,6797,1,7770.35,7770.35,2.302261641,9.996766,0,2.302261641,9.996766,1.18,0,0,0
130637,2006,20681,0,0,0,3.429708062,30.86763,0,3.429708062,30.86763,1.18,1,1,0
130658,2006,39009,0,0,0,3.886935407,48.761224,1,3.651213073,38.52136696,0.79,0,0,0
130660,2006,3788,0,0,0,1.674366857,5.335416,0,1.674366857,5.335416,1.06,0,,1
130714,2006,108812,1,123914.04,123914.04,5.423590786,226.691664,1,5.329280106,206.2894142,0.91,1,1,0
130716,2006,14466,2,22772.5,11386.25,3.588095063,36.165118,0,3.588095063,36.165118,0.74,1,1,0
130721,2006,19560,0,0,0,3.817458623,45.488458,1,3.712098108,40.9396122,0.9,1,,1
130840,2006,9717,0,0,0,2.346507237,10.44901,0,2.346507237,10.44901,0.76,0,0,0
130910,2006,41724,0,0,0,4.005533166,54.901088,1,3.769810833,43.37185952,0.79,0,0,0
130911,2006,27022,1,22500,22500,3.774688023,43.583909,0,3.774688023,43.583909,0.7,1,1,0
130916,2006,12914,0,0,0,3.231630932,25.32092,1,3.422251291,30.6383132,1.21,1,1,0
131050,2006,43630,0,0,0,4.489099184,89.0412,1,4.468896477,87.260376,0.98,1,,1
131088,2006,21312,0,0,0,4.000858396,54.645037,1,4.174811703,65.02759403,1.19,1,,1
131102,2006,8007,0,0,0,2.753724787,15.701006,0,2.753724787,15.701006,1.22,0,0,0
131112,2006,38981,1,1991.6,1991.6,4.317006504,74.963888,0,4.317006504,74.963888,0.95,1,1,0
131155,2006,30521,1,2032.62,2032.62,3.305089924,27.250992,1,3.495710284,32.97370032,1.21,1,1,0
131162,2006,17077,0,0,0,3.491664032,32.84055,1,3.586974212,36.124605,1.1,0,0,0
